course_id,difficulty_score,confidence,difficulty_score_raw
POLSCI124E,3.6084942084942084,medium,4.637170517517163
POLSCI125A,5.728185328185328,medium,5.663212971576645
POLSCI125AW,7.216602316602317,medium,6.413235643977007
POLSCI125B,8.204633204633204,low,6.949305940494612
POLSCI125CW,9.324710424710425,medium,8.134723537333105
POLSCI126C,9.225675675675676,medium,8.01859471184218
POLSCI126D,8.244015444015444,medium,6.997514132495151
POLSCI126F,2.224903474903475,low,3.5471874844165274
POLSCI126G,1.6706563706563706,medium,2.8228967791815007
POLSCI128BW,8.378378378378379,medium,7.128519835129974
POLSCI128C,8.407335907335908,medium,7.164479976107537
POLSCI129,6.814671814671814,medium,6.149333389333999
POLSCI130A,2.7918918918918916,medium,4.207650005101598
POLSCI130B,8.144401544401545,medium,6.865917916615589
POLSCI131C,8.92046332046332,medium,7.679125268340972
POLSCI131F,8.116602316602316,medium,6.837000501980082
POLSCI134F,6.710424710424711,medium,6.081696254318327
POLSCI134H,8.212741312741311,medium,6.9580528489264735
POLSCI134JW,4.149420849420849,low,5.041031761257699
POLSCI135A,8.964478764478764,medium,7.721930091147683
POLSCI135B,8.803474903474903,medium,7.578258715442871
POLSCI136A,8.586872586872587,medium,7.374956430116825
POLSCI136B,5.998648648648649,medium,5.746098496175223
POLSCI136BW,5.998648648648649,medium,5.746098496175223
POLSCI136D,3.5992277992277995,medium,4.630104100927859
POLSCI136E,1.4922779922779923,medium,2.543620025736715
POLSCI137BW,7.562934362934364,medium,6.634115645858582
POLSCI137C,8.423552123552124,medium,7.183798603151821
POLSCI138A,5.936679536679537,medium,5.723162148710659
POLSCI138AW,2.5196911196911196,medium,3.90779004181515
POLSCI138C,2.683011583011583,medium,4.085203051225584
POLSCI138CW,2.5359073359073356,medium,3.9232549395158207
POLSCI138DW,6.397683397683397,medium,5.911573028198738
POLSCI139,7.251351351351351,medium,6.436868654961674
POLSCI141B,9.27953667953668,medium,8.087721244736036
POLSCI141C,6.178764478764479,medium,5.810406148398974
POLSCI141E,4.133204633204633,medium,5.0282213508290585
POLSCI142B,4.198069498069499,medium,5.0689568827613884
POLSCI142D,9.62992277992278,medium,8.62435535577749
POLSCI142E,9.583590733590734,medium,8.565594039388216
POLSCI142F,9.266795366795368,medium,8.071630493203456
POLSCI142G,9.7996138996139,medium,8.919466310101651
POLSCI142J,2.793629343629344,medium,4.208735321227683
POLSCI143D,6.066409266409266,medium,5.770810866045428
POLSCI143E,9.532046332046333,medium,8.491388026646694
POLSCI143F,6.722007722007723,medium,6.091956456253165
POLSCI143G,9.127220077220077,medium,7.892852286797275
POLSCI144A,8.981853281853281,medium,7.7429112389379275
POLSCI145A,4.275096525096525,medium,5.119865528773804
POLSCI146A,2.5162162162162165,medium,3.903731555864331
POLSCI146B,6.895752895752896,high,6.192635388759417
POLSCI147CW,4.872779922779923,medium,5.411166832002563
POLSCI147D,6.747490347490348,high,6.10740121082791
POLSCI147E,2.645945945945946,medium,4.045563067814317
POLSCI149,6.472972972972973,medium,5.946086880782869
POLSCI150AW,8.51042471042471,medium,7.289106020065621
POLSCI151A,8.86023166023166,medium,7.62743523377002
POLSCI151B,9.556370656370657,medium,8.527421448771815
POLSCI151C,9.17065637065637,medium,7.936243848844951
POLSCI151EW,9.117374517374518,medium,7.886174598228304
POLSCI151F,9.682625482625483,medium,8.71800203377291
POLSCI151G,8.73050193050193,medium,7.509390920934357
POLSCI151H,4.454054054054055,medium,5.22929425178811
POLSCI152C,9.41042471042471,medium,8.311638430390186
POLSCI152F,9.0003861003861,medium,7.761919247021028
POLSCI152G,9.032818532818533,low,7.807779764806945
PORTUG1A,4.061389961389962,low,4.979141787877043
PORTUG1B,4.061389961389962,low,4.979141787877043
PORTUG1C,4.061389961389962,low,4.979141787877043
PORTUG243,4.644015444015444,low,5.32419502656382
PORTUG2A,4.9324324324324325,low,5.430006916537201
PP&D100,4.261776061776062,medium,5.10805858549082
PP&D101,6.223938223938224,low,5.82829884200304
PP&D102,5.304247104247104,medium,5.544557845639628
PP&D103,8.632046332046333,medium,7.419778081646063
PP&D104,8.894980694980696,medium,7.652659684919449
PP&D105,8.393436293436293,low,7.149949241293191
PP&D106,3.5424710424710426,medium,4.5906897676804395
PP&D107,6.775289575289576,medium,6.126238115593711
PP&D109,7.506177606177606,low,6.594436818932943
PP&D112,8.312355212355213,medium,7.060651400045558
PP&D113,8.703861003861004,medium,7.488080643180912
PP&D114,1.0776061776061776,medium,1.2986300372836557
PP&D115,1.2305019305019305,medium,1.9330868885304897
PP&D129,3.3513513513513513,medium,4.441189619003271
PP&D130,4.8038610038610035,low,5.3844212909826314
PP&D131,1.066023166023166,medium,1.200176244542043
PP&D132,1.3555984555984555,medium,2.278305295780292
PP&D133,6.600386100386101,medium,6.014544281078437
PP&D134,3.891119691119691,low,4.865843207575356
PP&D136,6.294594594594594,low,5.863569471994167
PP&D139,1.9706563706563707,medium,3.2634017133864752
PP&D142,8.790733590733591,low,7.566874707131701
PP&D145,2.3077220077220075,medium,3.6385113441432955
PP&D151,8.761776061776061,medium,7.539504205244001
PP&D152,1.8687258687258688,medium,3.147275733486635
PP&D153,2.0934362934362936,medium,3.4116587418005535
PP&D155,2.6876447876447873,medium,4.087439398806049
PP&D156,1.350965250965251,medium,2.2731526080366233
PP&D166,4.94980694980695,medium,5.437313310784745
PP&D167,1.0249034749034749,low,1.0
PP&D169,8.416023166023166,low,7.17723406826746
PP&D170,9.191505791505792,medium,7.965414221664092
PP&D172,7.128571428571429,low,6.354363615738622
PP&D173,2.2023166023166025,medium,3.527514090569135
PP&D177,8.399227799227798,low,7.155938593555835
PP&D178,7.111196911196911,medium,6.345988896265723
PP&D202,4.2791505791505795,medium,5.120433011734343
PP&D203,4.434362934362934,medium,5.2183666649472995
PP&D204,2.8683397683397684,medium,4.260452416920555
PP&D205,6.916602316602317,low,6.205794405445808
PP&D207,4.348648648648648,medium,5.172959838616831
PP&D208,8.5984555984556,low,7.38885784821422
PP&D209,6.316602316602317,medium,5.872041866241408
PP&D212,8.594980694980695,low,7.3858631720828996
PP&D213,4.495752895752895,low,5.248662639696032
PP&D214,1.0521235521235521,medium,1.0144585926203542
PP&D220,3.5656370656370657,medium,4.607793288171052
PP&D221,1.4065637065637064,medium,2.4030354430359577
PP&D223,3.533204633204633,medium,4.583888453290316
PP&D224,1.5212355212355213,medium,2.574660099773947
PP&D228,6.687258687258687,medium,6.06735141169973
PP&D231,7.041698841698842,medium,6.296984077086509
PP&D235,2.8231660231660234,medium,4.2443213250279985
PP&D237,7.296525096525096,medium,6.461134262341488
PP&D239,2.4907335907335906,medium,3.8595230123285336
PP&D241,8.117760617760618,medium,6.837365695705999
PP&D242,3.035135135135135,medium,4.292155478599097
PP&D243,7.576833976833977,medium,6.637305756464624
PP&D244,3.3814671814671815,medium,4.468247289324621
PP&D245,1.6023166023166024,medium,2.694110556140173
PP&D246,5.9714285714285715,low,5.736462107309165
PP&D251,8.564864864864864,medium,7.348726052591802
PP&D252,4.100772200772202,medium,5.009642989294098
PP&D270,1.5837837837837838,medium,2.671180880586964
PP&D275,6.936293436293437,medium,6.219867183474388
PP&D278,2.306563706563707,medium,3.6383451033351735
PP&D279,2.454826254826255,low,3.811550838453794
PP&D282,1.0613899613899613,medium,1.1117196443105686
PP&D283,7.416988416988417,medium,6.549194907035647
PP&D284,9.088416988416988,low,7.860685709793636
PP&D292,2.122393822393822,medium,3.4529898863225714
PP&D294A,1.0249034749034749,low,1.0
